ID,Participant,Accent,Comprehensibility,Accentedness,Familiarity
197,62,NBE,2,5,Sometimes
198,62,NigEng,3,5,Rarely
199,62,SAE,3,8,Rarely
200,62,SpanEng,3,6,Rarely
201,65,ChinEng,4,7,Never
202,65,GAE,1,2,Very Often
203,65,GBE,2,4,Often
204,65,IndEng,3,6,Rarely
205,65,NBE,2,4,Rarely
206,65,NigEng,5,7,Never
207,65,SAE,4,7,Sometimes
208,65,SpanEng,3,6,Rarely
209,66,ChinEng,3,8,Rarely
210,66,GAE,1,1,Very Often
211,66,GBE,2,6,Sometimes
212,66,IndEng,4,8,Rarely
213,66,NBE,1,7,Sometimes
214,66,NigEng,6,9,Rarely
215,66,SAE,1,7,Sometimes
216,66,SpanEng,3,6,Sometimes
217,67,ChinEng,3,7,Sometimes
218,67,GAE,1,6,Very Often
219,67,GBE,2,8,Very Often
220,67,IndEng,2,7,Sometimes
221,67,NBE,1,5,Often
222,67,NigEng,4,9,Sometimes
223,67,SAE,2,8,Often
224,67,SpanEng,3,9,Often
225,70,GBE,2,3,Sometimes
226,70,GAE,1,1,Often
227,70,NBE,1,6,Often
228,70,SAE,3,5,Rarely
229,70,IndEng,2,7,Sometimes
230,70,NigEng,4,7,Rarely
231,70,ChinEng,2,6,Sometimes
232,70,SpanEng,4,7,Rarely
233,71,GBE,2,2,Never
234,71,GAE,1,4,Sometimes
235,71,NBE,3,6,Very Often
236,71,SAE,4,7,Never
237,71,IndEng,4,7,Rarely
238,71,NigEng,6,8,Never
239,71,ChinEng,5,8,Never
240,71,SpanEng,4,6,Never
241,72,GBE,2,5,Sometimes
242,72,GAE,1,3,Often
243,72,NBE,5,6,Sometimes
244,72,SAE,4,6,Rarely
245,72,IndEng,3,5,Sometimes
246,72,NigEng,4,6,Sometimes
247,72,ChinEng,5,8,Rarely
248,72,SpanEng,6,8,Sometimes
249,73,GBE,3,4,Rarely
250,73,GAE,2,3,Very Often
251,73,NBE,3,4,Very Often
252,73,SAE,3,5,Rarely
253,73,IndEng,5,6,Often
254,73,NigEng,4,5,Rarely
255,73,ChinEng,5,7,Sometimes
256,73,SpanEng,4,5,Rarely
257,75,GBE,2,2,Never
258,75,GAE,1,1,Sometimes
259,75,NBE,5,6,Sometimes
260,75,SAE,3,7,Never
261,75,IndEng,8,8,Rarely
262,75,NigEng,6,8,Never
263,75,ChinEng,5,8,Rarely
264,75,SpanEng,4,7,Never
